category	key	tree_id	tree_name_en	tree_name_ko	english	korean	desc_en	desc_ko
ability	Abilities.Ability_Runemaster 01 Frost Wall_Name				"Frost Wall"	"서리 벽"	"Creates a wall of frost which persists for 6 seconds. Enemies inside the wall take cold damage over time and receive a stack of chill every 0.25 seconds. You can have up to 1 active Frost Wall at a time.  Enemies that reach the wall at least 0.2 seconds after it's been created are frozen for twice as long as the wall has existed, up to a 2 second freeze duration. Bosses cannot be frozen in this way."	"6초간 지속되는 서리 장벽을 형성합니다. 장벽 내부의 적은 냉기 지속 대미지를 받고, 0.25초마다 오한이 중첩됩니다. 서리 장벽은 한 번에 1개만 활성화할 수 있습니다.  장벽이 형성되고 최소 0.2초가 지난 뒤, 장벽에 적이 닿으면 장벽이 존재한 시간의 두 배만큼 최대 2초 동안 얼어붙습니다. 보스는 얼어붙지 않습니다."
ability	Abilities.Ability_FlameWard_Name				"Flame Ward"	"불꽃 와드"	"Grants a burst of 400 ward. Then for 3 seconds, hits deal 30% less damage to you and cause a retaliatory burst of flames. "	"와드 400을 부여합니다. 그 후, 3초 동안 플레이어가 받는 피해가 30% 감폭되며 보복의 불꽃이 일어납니다. "
ability	Abilities.Ability_BurstOfFlame_Name				"Flame Burst"	"불꽃 폭발"	"A burst of flame that deals high damage in an area around the target."	"대상 주변 지역에 고적 피해를 입히는 화염 폭발을 발생시킵니다. "
ability	Abilities.Ability_Runemaster 06 Flame Rush_Name				"Flame Rush"	"불꽃 돌진"	"You turn into a ball of flame and launch yourself in the target direction. The longer you hold down the key, the slower you move, but the larger and more damaging the explosion is when you stop channeling. You take 40% less damage during Flame Rush."	"불꽃 구체로 변신해 지정 방향으로 날아갑니다. 키를 오래 누르고 있으면 움직임이 느려지지만, 채널링을 멈추고 폭발할 때 더 많은 대미지를 줍니다. 불꽃 돌진 도중에는 받는 대미지가 40% 감폭됩니다."
ability	Abilities.Ability_Runemaster 06.1 Explosion_Name				"CapsuleMan Basic Explosion"	"캡슐 맨 기본 폭발"	"Create a burst of fire damage around a minion. Has 400% added damage effectiveness."	"미니언 주변으로 화염 피해를 폭발시킵니다. 추가 피해가 400%의 효과로 적용됩니다."
ability	Abilities.Ability_Warlock 02 Ghostflame_Name				"Ghostflame"	"심연의 메아리"	"Channel to releases a continuous jet of horrid flames in front of you dealing fire and necrotic damage over time."	"채널링 시 전방에 지속적인 공포의 화염이 발사하며 화염과 괴사 피해를 입힙니다."
ability	Abilities.Ability_Warlock 01 Chaos Bolts_Name				"Chaos Bolts"	"혼돈의 화살"	"A barrage of chaotic projectiles which land in an area around the target. The explosions deal necrotic and fire damage in a small area."	"혼돈된 발사체로 구성된 탄막을 발사하여 대상 주변에 착륙해서 폭발을 일으켜 작은 범위에서 괴사 및 화염 피해를 입힙니다."
ability	Abilities.Ability_Void Nagasa Boss 10c2 Lightning Balls_Name				"Shocking Impact"	"쇼킹 충격"	"Call a meteor from the sky that deals a large amount of damage upon landing. Added damage is applied at five times its normal value."	"하늘에서 운석 하나를 소환하여 땅에 떨어질 때는 많은 피해를 입히며 부가 피해의 피해 효과는 정상치의 5배입니다."
ability	Abilities.Ability_Void Nagasa Boss 10c3 Lightning Balls_Name				"Shocking Impact"	"쇼킹 충격"	"Call a meteor from the sky that deals a large amount of damage upon landing. Added damage is applied at five times its normal value."	"하늘에서 운석 하나를 소환하여 땅에 떨어질 때는 많은 피해를 입히며 부가 피해의 피해 효과는 정상치의 5배입니다."
ability	Abilities.Ability_Warlock 05 Profane Veil_Name				"Profane Veil"	"불경스런 장막"	"Channel to conceal yourself within a Profane Veil that deals necrotic damage over time to enemies around you. While concealed you dodge every Hit, but you can still take damage from damage over time effects, such as ailments, and you move more slowly.  Last for up to 2 seconds (also ends when you release the key). Cooldown does not recover during use."	"불경스런 장막으로 자신을 은폐하고 주변의 적에게 지속적인 괴사 피해를 입힙니다.은폐 시 매번의 타격을 피할 수 있지만 지속적인 피해 효과에(질병과 같은)  여전히 영향을 받고 이동속도가 느려집니다.  최대 2초간 지속됩니다(버튼을 풀릴 때도 종료됨).쿨다운은 사용  기간에 회복하지 않습니다."
ability	Abilities.Ability_Warlock 04 Chthonic Fissure_Name				"Chthonic Fissure"	"저승의 균열"	"Opens an infernal fissure in the ground, dealing fire damage over time to enemies on top of it, as well as releasing '{'Spirits'}' from the fissure that seek nearby enemies. These spirits inflict enemies with '{'Torment'}', a '{'Curse'}' that slows and deals necrotic damage over time.  Max 1 active fissure."	"지상에서 연옥의 균열을 찢어 위에 서 있는 적에게 지속 화염 피해를 입히면서 '{'영혼'}'를 지속적으로 방출하여 근처의 적을 추적합니다.영체는 적에게 '{'고통'}''{'저주'}'를 시전하며 적을 둔화시키고 지속 괴사 피해를 입힙니다.  균열 활성화 수량의 한도는 1입니다."
ability	Abilities.Ability_Warlock 04.1 Arcing Soul_Name				"Tormenting Spirit"	"유령 괴로힘"	"Tormenting Spirits hits enemies and inflicts them with '{'Torment'}', dealing necrotic damage over time."	"영혼을 괴롭히는 것은 적을 타격할 수 있고 '{'고통'}'을 시전하여 괴사 지속 피해를 입힐 수 있습니다."
ability	Abilities.Ability_Falconer 01 Falcon Strikes_Name				"Falcon Strikes"	"매의 타격"	"Your Falcon rapidly strike enemies within the target area."	"매는 대상 구역 내의 적을 빠르게 공격합니다."
ability	Abilities.Ability_ShieldThrowOut_Name				"Shield Throw"	"방패 투척"	"Throws a shield at a target enemy. The shield ricochets to up to 2 additional targets before returning to you.  The cooldown starts when the shield returns to you."	"대상에게 방패를 던집니다. 방패는 최대 2개의 대상에게 튕겨난 뒤 플레이어에게 돌아옵니다.  방패가 돌아오면 쿨다운이 시작됩니다."
ability	Abilities.Ability_Falconer 03 Dive Bomb_Name				"Dive Bomb"	"급강하 폭탄"	"Your '{'Falcon'}' ascends high into the sky then dive bombs the target location at high speed, dealing a high amount of physical damage to enemies in the area."	"'{'매의'}'은 고공으로 날아가서 고속으로 급강하하여 대상 위치을 폭격하며 구역 내의 적에게 대량의 물리 피해를 입힙니다."
ability	Abilities.Ability_HealingHands_Name				"Healing Hands"	"치유의 손"	"Heals all allies in a target area for 50 health and applies a lingering warmth which heals 80 health over the next 3 seconds. The lingering warmth cannot stack on the same target."	"목표 구역의 모든 아군에게 50점 체력을 치료하고 '{'남은 온기'}'를 시전하여 그 이후 3초 내에 80점 체력을 계속 치료합니다.'{'남은 온기'}'는 동일한 대상에 스택할 수 없습니다."
ability	Abilities.Ability_Flay 1_Name				"Flay"	"벗기기"	"Spirit Step up to 3 meters towards an enemy if not within range, then perform a narrow rending slash. Each enemy killed by the melee attack will release a Blood Eruption, a spell dealing physical damage in an area. Enemies can be hit by both Flay and all Blood Eruptions that occur."	"'{'영혼 발걸음'}' 최대 3미터 앞으로 이동하여 적에게 접근하고 나서 작은 각도로 렌딩 슬래시를 한 번 시전합니다. 근접 공격으로 처치된 적은 '{'피 분출'}'을 한 번 발동할 수 있으며 해당 주문은 일정 범위 내에 물리 피해를 입힙니다. 적은 '{'벗기기'}'와 모든 '{'피 분출'}'에 동시 맞을 수 있습니다."
ability	Abilities.Ability_Flay Blood Explosion_Name				"Blood Eruption"	"피 분출"	"Blood erupts from the enemy, dealing physical spell damage to it and all other enemies in an area."	"피가 적의 몸에서 솟구쳐 나와, 자신과 주변 일정 범위 내의 모든 기타 적에게 물리 주문 피해를 입힙니다."
ability	Abilities.Ability_Flay 2_Name				"Teleport"	"순간 이동"	""	""
ability	Abilities.Ability_Fireball_Name				"Fireball"	"파이어볼"	"Cast a ball of fire towards the target. Has 40% chance to ignite on hit. Added spell damage applies at 125% effectiveness."	"대상을 향해 불덩이를 투척하여 타격 시 40%의 확률로 점화를 일으킵니다.부가 주문 피해의 부가 피해 효용은 125%입니다."
ability	Abilities.Ability_IceNova_Name				"Ice Nova"	"얼음 노바"	"Casts a nova around you that deals cold damage."	"주변에 냉기 피해를 입히는 노바를 시전합니다."
ability	Abilities.Ability_IceVortex_Name				"Ice Vortex"	"얼음 회오리"	"Cast a swirling vortex of cold damage over time that lasts for 4 seconds."	"4초 동안 지속되는 냉기 지속 피해 소용돌이를 시전합니다."
ability	Abilities.Ability_Meteor_Name				"Meteor"	"유성"	"Call a meteor from the sky that deals a large amount of damage upon landing."	"하늘에서 운석을 소환해 낙하 시 막대한 피해를 입힙니다."
ability	Abilities.Ability_SummonWolf_Name				"Summon Wolf"	"늑대 소환"	"Summons a primal wolf that follows you into combat. When its health drops to 0 it is downed, and you can stand near it to revive it.  While you have your maximum number of wolves, the ability is replaced with '{'Howl'}'.  The wolf counts as a companion. You can have a maximum of two companions at once by default."	"야만인의 늑대 한 마리를 소환하여 당신을 따라 전투합니다. 체력이 0까지 떨어지면 쓰러질 것이고 그 근처에 서서 부활시킬 수 있습니다.  소환한 늑대가 수량의 상한에 되면 해당 스킬은 '{'으르렁'}' 스킬과 교체됩니다.  늑대는 파트너로 간주됩니다. 기본적으로 최대 두 파트너를 동시에 가질 수 있습니다."
ability	Abilities.Ability_Wolf Ability_Name				"Howl"	"울부짖기"	"The companion ability of your Primal Wolves.  Your wolves howl to embolden themselves and allies around them, granting them frenzy and 25% more melee damage (multiplicative with other modifiers) for 3 seconds.  The howl also heals allies around you for 50 health."	"'{'태고의 늑대'}'의 파트너 스킬입니다.    '{'늑대'}'가 '{'울부짖기'}'를 할 수 있으며 자신과 주변 아군을 고무시키고 '{'광란'}' 버프를 획득하여 근접 피해가 25% 총 증가 (다른 수정치와 곱함)해서 3초 동안 지속됩닏다.    '{'울부짖기'}'가 주위의 아군에게 50 포인트의 체력도 회복시킵니다."
ability	Abilities.Ability_LightningNova_Name				"Lightning Nova"	"번개 노바"	"Casts a nova around you that deals lightning damage."	"주변에 번개 피해를 입히는 노바를 시전합니다."
ability	Abilities.Ability_FireNova_Name				"Fire Nova"	"화염 노바"	"Casts a nova around you that deals fire damage."	"주변에 화염 피해를 입히는 노바를 시전합니다."
ability	Abilities.Ability_ElementalNova_Name				"Elemental Nova"	"원소 노바"	"Casts a nova around you that deals fire, cold and lightning damage.  All types of Elemental Nova that you have enabled have an equal chance to be cast."	"주변에 화염, 냉기, 번개 피해를 입히는 노바를 시전합니다.  활성화한 모든 유형의 원소 노바는 시전될 확률이 같습니다."
ability	Abilities.Ability_ChainingIceNova_Name				"Freezing Cascade"	"얼어붙은 폭포"	"Creates a cascade of freezing novas. Whenever an enemy is hit by a nova another one is created around them. Each ice nova has a freeze rate of 40."	"얼어붙은 노바 폭포를 만듭니다. 적이 노바에 타격당하면 그 주변에 다른 노바가 생성됩니다. 각 얼음 노바의 결빙 비율은 40입니다."
ability	Abilities.Ability_Pyre Golem InfernalAura_Name				"Infernal Aura"	"지옥의 아우라"	"Deals a burst of fire damage, then fire damage over time around the caster for 10 seconds. Ignites enemies within its area every second."	"화염 피해를 즉시 폭발시키고, 이후 10초간 시전자 주변에 화염 지속 피해를 줍니다. 범위 내 적을 초당 점화시킵니다."
ability	Abilities.Ability_BlackHole_Name				"Black Hole"	"블랙홀"	"Summon a powerful black hole at target location that aggressively pulls enemies and deals cold damage over time to enemies within its reach."	"지정 위치에 강력한 블랙홀을 소환합니다. 적을 거세게 끌어당기고 범위 내의 적에게 냉기 지속 피해를 입힙니다."
ability	Abilities.Ability_FuryLeap_Name				"Fury Leap"	"분노의 도약"	"Leap to the target location, dealing damage to nearby enemies when you hit the ground."	"지정 위치로 도약해 지면 타격 시 인근 적에게 피해를 입힙니다."
ability	Abilities.Ability_Swipe_Name				"Swipe"	"후려치기"	"A melee attack that hits all enemies in an area in front of you. Unaffected by weapon range."	"전방 영역의 모든 적을 타격하는 근접 공격입니다. 무기 범위의 영향을 받지 않습니다."
ability	Abilities.Ability_Swipe2_Name				"Swipe"	"스와이프"	"A melee attack that hits all enemies in an area in front of you. Unaffected by weapon range."	"전방 영역의 모든 적을 타격하는 근접 공격입니다. 무기 범위의 영향을 받지 않습니다."
ability	Abilities.Ability_IceThorns_Name				"Ice Thorns"	"얼음 가시"	"Releases a burst of homing ice thorns that deal physical and cold damage on hit and have a freeze rate of 18"	"자동 유도 방식의 얼음 가시를 발사해 타격 시 물리 및 냉기 피해를 입힙니다. 결빙 비율은 18입니다."
ability	Abilities.Ability_Tornado_Name				"Tornado"	"토네이도"	"Conjures a tornado that moves at random, pulling in nearby enemies and dealing physical damage to them."	"무작위로 움직이는 토네이도를 일으켜 인근 적을 끌어당기고 물리 피해를 입힙니다."
ability	Abilities.Ability_PrimalLightning_Name				"Storm Bolt"	"폭풍 화살"	"Call forth a bolt of lightning to strike the area."	"대상 지역에 번개의 벼락을 내리칩니다."
ability	Abilities.Ability_ThornShield_Name				"Thorn Shield"	"가시 방패"	"Form a protective barrier of thorns around yourself or an ally that grants 30 armor and reflects 40 damage to attackers. When the shield expires, a burst of thorns shoots out and damages all nearby enemies."	"자신이나 아군 주변에 와드 역할을 하는 가시 장벽을 생성하여 방어력30 제공하고 공격자에게 40의 피해를 반사합니다. 방패 시간이 끝나면 가시가 폭발하며 근처의 모든 적에게 피해를 입힙니다."
ability	Abilities.Ability_Thorn Shield Nova_Name				"Thorn Shield Burst"	"가시 방패 폭발"	"Releases a burst of thorns, damaging all nearby enemies."	"가시를 폭발시켜 근처의 모든 적에게 피해를 입힙니다."
ability	Abilities.Ability_ManaStrike_Name				"Mana Strike"	"마나 맹공"	"A melee attack that hits all enemies in an area in front of you. If it hits at least one enemy, it creates a mana orb that returns to you and restores 15 mana."	"전방 범위에 있는 모든 적을 타격하는 근접 공격입니다. 최소 적 한 명을 적중 시 15 마나를 회복시켜 주는 마나 오브를 생성합니다."
ability	Abilities.Ability_SummonVines_Name				"Summon Vines"	"덩굴 소환"	"Summon 3 poisonous vines for 8 seconds.  Each vine has 50 base health."	"8초간 지속되는 독성 덩굴 3마리를 소환합니다.   각 덩굴은 50개의 기초 체력을 가지고 있습니다."
ability	Abilities.Ability_SpiritThorns_Name				"Spirit Thorns"	"영혼 가시"	"Releases a burst of thorns towards enemies in the target direction. Thorns deal physical damage on hit and multiple thorns can hit the same target."	"지정 방향에 있는 적에게 가시를 폭발시킵니다. 가시는 타격 시 물리 피해를 입히며, 다수의 가시가 동일한 대상을 타격할 수 있습니다."
ability	Abilities.Ability_SummonVineAtTarget_Name				"Summon Vine"	"덩굴 소환"	"Summons 1 poisonous vine.  Vines are melee minions that inflict poison on hit. You can have up to 12 vines."	"1개의 독 덩굴을 소환합니다.  덩굴은 타격 시 독을 적용하는 근접 미니언입니다. 최대 12개의 덩굴을 소환할 수 있습니다."
ability	Abilities.Ability_MeteorShrapnel_Name				"Shrapnel"	"파편"	"Fires a piece of burning shrapnel in a random direction."	"불타는 파편 조각을 무작위 방향으로 발사합니다."
ability	Abilities.Ability_LightningBlast_Name				"Lightning Blast"	"번개 폭발"	"Hurl a bolt of lightning at the target. It chains to an additional enemy for each time it has been directly cast in the last 4 seconds, up to 2 times."	"대상에게 번개를 발사합니다. 지난 4초 내에 바로 시전할 때마다 추가 적군을 연쇄 공격하여 최대 2회까지입니다."
ability	Abilities.Ability_IceWard_Name				"Ice Ward"	"얼음 와드"	"Toggles a protective shield that chills nearby enemies and grants 4 ward per second, but drains 3 mana per second. Can be cast instantly."	"인근 적에게 오한을 적용하는 방패를 활성화합니다. 매초 와드를 4씩 제공하지만, 매초 마나가 3씩 고갈됩니다. 즉시 시전할 수 있습니다."
ability	Abilities.Ability_Glacier_Name				"Glacier"	"빙하"	"Creates three successively larger ice explosions in the target direction. Each explosion deals more damage than the last."	"대상 방향으로 점차 커지는 세 개의 얼음 폭발을 발생시킵니다. 각 폭발은 이전 것보다 더 많은 피해를 입힙니다"
ability	Abilities.Ability_AcidFlask_Name				"Acid Flask"	"산성 플라스크"	"Throw a flask of acid that explodes dealing physical damage on impact, poisoning enemies and reducing their armor."	"산성 플라스크 하나를 투척하여 폭발 후 적군에게 물리 피해를 입히고 적군을 중독시키며 방어력이 감소합니다."
ability	Abilities.Ability_FrostNova_Name				"Frost Nova"	"서리 노바"	"A circle of biting frost that deals cold damage and has a chance to freeze on hit."	"살을 에는 듯한 원형 서리가 냉기 대미지를 주고, 타격 시 일정 확률로 표적을 결빙시킵니다."
ability	Abilities.Ability_SummonClawTotem_Name				"Summon Claw Totem"	"발톱 토템 소환"	"Summons a totem that attacks with Swipe. It only scales with totem and minion stats, but it is affected by your Swipe Tree.  Claw Totems have 120 base health and last for 12 seconds."	"소탕하는 것으로 적군을 타격하는 토템 하나를 소환합니다.해당 토템은 토템 및 미니언만 특성 가산에 영향을 받지만 동시에 당신의 소탕 스킬 트리 가산에도 영향을 받습니다.  발톱 토템의 기본 체력은 120이며 12초간 지속됩니다."
ability	Abilities.Ability_BasicPlayerAttack_Name				"Attack"	"공격"	"A basic attack with your weapon that costs no mana"	"무기를 사용하여 시작한 기본 타격은 마나를 소모하지 않습니다."
ability	Abilities.Ability_SummonBear_Name				"Summon Bear"	"곰 소환"	"Summons a primal bear that follows you into combat. When its health drops to 0 it is downed, and you can stand near it to revive it.  The bear counts as a companion. You can have a maximum of two companions at once by default."	"플레이어의 전투에 따라오는 태고의 곰을 소환합니다. 곰은 체력이 0으로 떨어지면 쓰러지며, 곰 가까이에 서면 곰을 부활시킬 수 있습니다.  곰은 동반자로 취급됩니다. 기본적으로 최대 두 동반자를 동시에 가질 수 있습니다."
ability	Abilities.Ability_Bear Ability_Name				"Bear Roar"	"곰의 포효"	"The companion ability of your Primal Bear.  Releases a mighty roar, taunting enemies around it and healing it for 25% of its maximum health."	"원시 곰의 동반자 능력입니다.  강력한 포효를 내뿜어 주변 적을 도발하고, 곰의 최대 생명력의 25%를 회복합니다."
ability	Abilities.Ability_SummonThornTotem_Name				"Summon Thorn Totem"	"가시 토템 소환"	"Summons a totem that fires thorns at nearby enemies. You can have a maximum of two thorn totems by default."	"인근 적에게 가시를 발사하는 토템을 소환합니다. 기본값으로 최대 두 개의 가시 토템만 소화할 수 있습니다."
ability	Abilities.Ability_SummonSerpent_Name				"Summon Primal Serpent"	"태고의 뱀 소환"	"Summon a Primal Serpent, a melee minion that poisons on hit. They have an unlimited duration, but do not regenerate health.  You are limited to one primal serpent at a time, but Primal Serpents do not count towards your companion limit.  Primal Serpents have 500 base health."	"태고의 뱀을 소환합니다. 이는 근접 미니언으로, 공격 시 독을 입힙니다.무제한 지속시간을 가지지만, 체력은 회복하지 않습니다.  한 번에 하나의 태고의 뱀만 소환할 수 있지만, 태고의 뱀는 동반자 한계에 포함되지 않습니다.  태고의 뱀는 기본 체력이 500입니다."
ability	Abilities.Ability_SummonIllusoryTree_Name				"Summon Illusory Tree"	"나무 환영 소환"	"Summons an illusory tree that distracts your opponents and lasts 8 seconds."	"적의 주위를 산만하게 만들고 8초 동안 지속되는 나무 환영을 소환합니다."
ability	Abilities.Ability_SwarmOfBees_Name				"Swarm of Bees"	"벌떼"	"Summon a swarm of bees to attack your enemies."	"벌떼를 소환해 적을 공격합니다."
ability	Abilities.Ability_StaticOrb_Name				"Static Orb"	"정전기 오브"	"Casts an orb in a target direction that deals lightning damage and pulls enemies that it hits towards it as it travels. At the target location it explodes, dealing lightning damage to enemies surrounding it and also striking up to 5 enemies further out. The further it travels the higher the damage and area of effect of the explosion, up to 100%."	"번개 피해를 입히는 오브를 지정 방향으로 시전합니다. 오브는 이동 중에 타격하는 적을 끌어당깁니다. 오브는 지정 위치에서 폭발하며, 주변의 적에게 번개 피해를 입히고 최대 5명의 적까지 뻗어나가 공격합니다. 멀리 뻗어나갈수록 폭발의 피해와 효과 범위가 100%까지 커집니다."
ability	Abilities.Ability_ChargedGround_Name				"Charged Ground"	"대지 충전"	"Charges an area of ground, causing repeated bursts of lightning in smaller areas within it.  Static Orb's damage and area bonuses based on distance travelled also apply to the Charged Ground."	"대지의 일부를 충전해 그 안에서 작은 번개 폭발을 여러 번 일으킵니다.  이동 거리를 기준으로 계산된 정전기 오브의 대미지와 범위 보너스가 대지 충전에도 적용됩니다."
ability	Abilities.Ability_SmallLightningNova_Name				"Spark Nova"	"전류 노바"	"Deals lightning damage around the target area."	"대상 지역에 번개의 벼락을 내리칩니다."
ability	Abilities.Ability_EntanglingRoots_Name				"Entangling Roots"	"얽어매는 뿌리"	"Call forth a wave of roots that grows outwards in a wide cone in front of you. The wave deals physical damage and roots enemies it hits for 1.5 seconds. Rooted enemies take physical damage over time until they are freed.   Added spell damage applies at 100% to the initial hit and 200% per second to the damage over time. "	"전방에 넓은 원뿔 형태로 퍼져 나가는 뿌리의 파도를 일으킵니다. 파도는 물리 피해를 입히고, 타격하는 적에게 1.5초 동안 뿌리내립니다. 뿌리에 얽힌 적은 풀려날 때까지 물리 지속 피해를 받습니다.   추가 주문 피해가 최초 타격에 100%의 효과로, 지속 피해에 매초 200%의 효과로 적용됩니다. "
ability	Abilities.Ability_ShieldRush_Name				"Shield Rush"	"방패 돌진"	"Requires a shield.  Charge through enemies in the target direction until you release the ability key. You hit enemies in your path and in a wider area at the end of the movement. You do not regenerate mana while rushing."	"방패가 필요합니다.  스킬 키를 놓을 때까지 지정 방향으로 적에게 돌진합니다. 경로에 있는 적을 타격하며, 이동이 끝나면 더 넓은 범위의 적을 타격합니다. 돌진 중에는 마나가 재생되지 않습니다."
ability	Abilities.Ability_Lunge_Name				"Lunge"	"돌격"	"Dash to a nearby enemy and strike it with your weapon. Cannot be used without a target. Costs more mana the further away the target is."	"가까운 적으로 돌진하고 무기로 공격합니다. 대상 없이는 사용할 수 없으며, 대상이 더 멀리 있을수록 더 많은 마나를 소모합니다. "
ability	Abilities.Ability_Smite_Name				"Smite"	"강타"	"Smites a target enemy with a bolt of holy fire that descends from the sky, healing allies around the target for 60 health. If you are in the area you are also healed.  Cannot be used without a target."	"하늘에서 내려오는 신성한 화염으로 대상을 강타해 대상 주변의 아군 체력을 60 치유합니다. 플레이어가 범위 안에 있으면 플레이어도 치유됩니다.  대상이 없으면 사용할 수 없습니다."
ability	Abilities.Ability_Anomaly_Name				"Anomaly"	"변칙"	"Combo skill that first sends enemies forward in time by 5 seconds. Reactivate the skill to bring those enemies back to your timeline early."	"적을 먼저 5초 앞으로 시간을 보내는 콤보 스킬입니다. 스킬을 다시 활성화하여 이러한 적을 이전의 타임라인으로 되돌릴 수 있습니다."
ability	Abilities.Ability_AnomalyEnd_Name				"Anomaly"	"변칙"	"Brings enemies that were sent forward back to your time."	"앞으로 보냈던 적을 플레이어의 시간으로 다시 데려옵니다."
ability	Abilities.Ability_SummonSpriggan_Name				"Summon Spriggan"	"스프리건 소환"	"Summon a spriggan that casts spells to attack your enemies and has a passive Healing Aura that restores 10 health per second. When its health drops to 0 it is downed, and you can stand near it to revive it.  The spriggan counts as a companion. You can have a maximum of two companions at once by default."	"'{'스프리건'}' 하나를 소환하여 적에게 주문으로 공격할 수 있으며, '{'치유 아우라'}'를 보유하여 매초 10점의 체력을 회복합니다. 체력이 0이 되면 죽을 상태가 되어, 근처에 서서 부활시킬 수 있습니다.  '{'스프리건'}'은 동반자로 간주됩니다. 기본적으로 최대 2명의 동반자를 보유할 수 있습니다."
ability	Abilities.Ability_ThornVolley_Name				"Thorn Volley"	"가시 투하"	"Releases a burst of thorns towards enemies in the target direction. Thorns deal physical damage on hit and multiple thorns can hit the same target."	"지정 방향에 있는 적에게 가시를 폭발시킵니다. 가시는 타격 시 물리 피해를 입히며, 다수의 가시가 동일한 대상을 타격할 수 있습니다."
